coverage,width,correlation,alea_error_corr,epis_error_corr,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,k,dataset,status
0.9114583333333334,11.74938914080243,0.06759239055085568,0.770787784303976,-0.028027617292443182,2.220446049250313e-16,2.937345345492176,7.401486830834377e-17,2.937346850677065,3,energy_heating,success
0.9114583333333334,11.74938914080243,0.024626817715724707,0.6457484371437938,-0.028027617292443182,-5.551115123125783e-17,2.9373456884072446,7.401486830834377e-17,2.937346850677065,5,energy_heating,success
0.9114583333333334,11.74938914080243,0.09456754855477463,0.6450904384039627,-0.028027617292443182,-2.821816854255606e-16,2.9373456009428245,7.401486830834377e-17,2.937346850677065,7,energy_heating,success
0.9114583333333334,11.74938914080243,0.1549528464213935,0.6176209260246652,-0.028027617292443182,1.896631000401309e-16,2.9373455646208164,7.401486830834377e-17,2.937346850677065,10,energy_heating,success
0.9114583333333334,11.74938914080243,0.15344010785574674,0.5487864439024625,-0.028027617292443182,-1.295260195396016e-16,2.9373456564683424,7.401486830834377e-17,2.937346850677065,15,energy_heating,success
0.9114583333333334,11.74938914080243,0.12949701626978694,0.46454593965021224,-0.028027617292443182,-9.251858538542972e-17,2.937345668838917,7.401486830834377e-17,2.937346850677065,20,energy_heating,success
0.9114583333333334,11.74938914080243,0.15177867829417294,0.38671792276745065,-0.028027617292443182,9.80697005085555e-16,2.937345566019505,7.401486830834377e-17,2.937346850677065,30,energy_heating,success
0.9114583333333334,11.74938914080243,0.09588606017655706,0.39228287128094247,-0.028027617292443182,2.4054832200211723e-16,2.937345401152361,7.401486830834377e-17,2.937346850677065,50,energy_heating,success
0.9114583333333334,11.74938914080243,-0.020296441765310157,0.24055500098318808,-0.028027617292443182,-3.2381504884900397e-16,2.9373449613984057,7.401486830834377e-17,2.937346850677065,100,energy_heating,success
0.9114583333333334,11.74938914080243,-0.11257593398785756,0.0017719886808252876,-0.028027617292443182,6.793980389005858e-11,5.6074009203235e-10,7.401486830834377e-17,2.937346850677065,all,energy_heating,success
0.9108527131782945,36.28572717073973,0.0510564283318695,0.23659985893577531,0.04471354215707254,-1.1016166445893026e-15,9.07142828056699,1.652424966883954e-16,9.071431777136404,3,concrete,success
0.9108527131782945,36.28572717073973,0.18008962775181236,0.27333454478984043,0.04471354215707254,2.478637450325931e-15,9.071427613228154,1.652424966883954e-16,9.071431777136404,5,concrete,success
0.9108527131782945,36.28572717073973,0.2547011760847089,0.25578217132617403,0.04471354215707254,0.0,9.071427153213483,1.652424966883954e-16,9.071431777136404,7,concrete,success
0.9108527131782945,36.28572717073973,0.21212989474024815,0.2379275955285422,0.04471354215707254,-1.900288711916547e-15,9.071426688766172,1.652424966883954e-16,9.071431777136404,10,concrete,success
0.9108527131782945,36.28572717073973,0.18385108008080805,0.20747464188352294,0.04471354215707254,-1.6799653829986865e-15,9.071425088787349,1.652424966883954e-16,9.071431777136404,15,concrete,success
0.9108527131782945,36.28572717073973,0.15995607522591976,0.17614901537001937,0.04471354215707254,-6.33429570638849e-16,9.071424338903759,1.652424966883954e-16,9.071431777136404,20,concrete,success
0.9108527131782945,36.28572717073973,0.09852337503613921,0.16156745629749697,0.04471354215707254,5.177598229569722e-15,9.071422409391063,1.652424966883954e-16,9.071431777136404,30,concrete,success
0.9108527131782945,36.28572717073973,0.06197313626505639,0.22276188197673344,0.04471354215707254,9.694226472385863e-15,9.071421191625856,1.652424966883954e-16,9.071431777136404,50,concrete,success
0.9108527131782945,36.28572717073973,0.08682142976481387,0.13758379354045294,0.04471354215707254,5.508083222946513e-16,9.071416258738386,1.652424966883954e-16,9.071431777136404,100,concrete,success
0.9108527131782945,36.28572717073973,0.07629195313127839,0.0339950462096674,0.04471354215707254,1.0211842371437925e-08,3.5662501035093044e-09,1.652424966883954e-16,9.071431777136404,all,concrete,success
0.922077922077922,14.687905328193521,0.005048361477151284,0.2148672332235488,0.24786726465815245,-6.920870802858119e-17,3.6719736875916538,-3.7488050182148143e-17,3.67197632214024,3,yacht,success
0.922077922077922,14.687905328193521,0.05978217368125736,0.26213692229489244,0.24786726465815245,-3.3450875547147575e-16,3.6719739508478635,-3.7488050182148143e-17,3.67197632214024,5,yacht,success
0.922077922077922,14.687905328193521,0.037645508379257814,0.3406913186602712,0.24786726465815245,8.074349270001138e-16,3.6719740716098133,-3.7488050182148143e-17,3.67197632214024,7,yacht,success
0.922077922077922,14.687905328193521,0.10611437958650359,0.42024670324439567,0.24786726465815245,-2.2492830109288883e-16,3.6719739753962406,-3.7488050182148143e-17,3.67197632214024,10,yacht,success
0.922077922077922,14.687905328193521,0.10724663653508414,0.438349118233467,0.24786726465815245,5.767392335715099e-16,3.671973844303653,-3.7488050182148143e-17,3.67197632214024,15,yacht,success
0.922077922077922,14.687905328193521,0.09977520282810033,0.4410577823440987,0.24786726465815245,-5.421348795572193e-16,3.671973512795867,-3.7488050182148143e-17,3.67197632214024,20,yacht,success
0.922077922077922,14.687905328193521,0.036393028747833046,0.495428589024086,0.24786726465815245,2.041656886843145e-15,3.6719730352121505,-3.7488050182148143e-17,3.67197632214024,30,yacht,success
0.922077922077922,14.687905328193521,0.07336007074256497,0.5110905082159817,0.24786726465815245,-4.758098676964956e-16,3.671971969886542,-3.7488050182148143e-17,3.67197632214024,50,yacht,success
0.922077922077922,14.687905328193521,0.049869302050102815,0.2409370278545759,0.24786726465815245,4.2052941215866645e-14,3.671896396740801,-3.7488050182148143e-17,3.67197632214024,100,yacht,success
0.922077922077922,14.687905328193521,-0.11646470466060803,-0.07889978447035954,0.24786726465815245,-2.5413273766621867e-09,8.909759925766218e-10,-3.7488050182148143e-17,3.67197632214024,all,yacht,success
0.9225,2.3438169137442246,0.1365980222297925,0.14162436166169323,0.07742822497022989,1.4654943925052067e-16,0.5859510385628725,-7.105427357601002e-17,0.5859542264418911,3,wine_quality_red,success
0.9225,2.3438169137442246,0.15458025055408894,0.1295581568742392,0.07742822497022989,-7.993605777301127e-17,0.5859505544273653,-7.105427357601002e-17,0.5859542264418911,5,wine_quality_red,success
0.9225,2.3438169137442246,0.14338065757982751,0.16864296959913933,0.07742822497022989,9.325873406851315e-17,0.5859502376744532,-7.105427357601002e-17,0.5859542264418911,7,wine_quality_red,success
0.9225,2.3438169137442246,0.1411275666950531,0.19847321563741965,0.07742822497022989,6.106226635438361e-17,0.5859499908951114,-7.105427357601002e-17,0.5859542264418911,10,wine_quality_red,success
0.9225,2.3438169137442246,0.1705904251401539,0.14114158905516896,0.07742822497022989,3.2751579226442116e-17,0.5859493922973871,-7.105427357601002e-17,0.5859542264418911,15,wine_quality_red,success
0.9225,2.3438169137442246,0.17300414520792054,0.16489498708434588,0.07742822497022989,-1.8207657603852566e-16,0.5859486973308685,-7.105427357601002e-17,0.5859542264418911,20,wine_quality_red,success
0.9225,2.3438169137442246,0.17866629729951178,0.11967121277097562,0.07742822497022989,3.907985046680551e-16,0.5859476594992495,-7.105427357601002e-17,0.5859542264418911,30,wine_quality_red,success
0.9225,2.3438169137442246,0.19643474578156447,0.14149614796135632,0.07742822497022989,4.019007349143067e-16,0.5859461654879553,-7.105427357601002e-17,0.5859542264418911,50,wine_quality_red,success
0.9225,2.3438169137442246,0.2874523310244078,0.1918744562837149,0.07742822497022989,-3.552713678800501e-16,0.5859436428124221,-7.105427357601002e-17,0.5859542264418911,100,wine_quality_red,success
0.9225,2.3438169137442246,0.016460567386837332,0.08462775033495118,0.07742822497022989,-9.603594914712227e-11,9.214028151008858e-12,-7.105427357601002e-17,0.5859542264418911,all,wine_quality_red,success
0.8959030100334449,13.17737022745257,-0.02965443278488663,0.13142885936548182,0.054407212673572895,-6.238042412609575e-17,3.294339561580836,-3.267546025652635e-17,3.2943424692046244,3,power_plant,success
0.8959030100334449,13.17737022745257,-0.022877337860853886,0.11123912268791657,0.054407212673572895,3.6240055920874676e-16,3.2943392664188575,-3.267546025652635e-17,3.2943424692046244,5,power_plant,success
0.8959030100334449,13.17737022745257,-0.01482953363813259,0.11071483231361944,0.054407212673572895,5.094401303631153e-16,3.294339025290561,-3.267546025652635e-17,3.2943424692046244,7,power_plant,success
0.8959030100334449,13.17737022745257,-0.01408067954701416,0.09812484719454528,0.054407212673572895,-7.752995569957615e-16,3.294338708556171,-3.267546025652635e-17,3.2943424692046244,10,power_plant,success
0.8959030100334449,13.17737022745257,-0.008841692236427001,0.040465746046099905,0.054407212673572895,-1.2713724536175705e-15,3.2943386508859573,-3.267546025652635e-17,3.2943424692046244,15,power_plant,success
0.8959030100334449,13.17737022745257,0.01983974853227857,0.04026418873548717,0.054407212673572895,1.0099687715653597e-16,3.294338382087778,-3.267546025652635e-17,3.2943424692046244,20,power_plant,success
0.8959030100334449,13.17737022745257,0.004160583254510851,0.04213681257611589,0.054407212673572895,8.911489160870822e-18,3.2943376174221553,-3.267546025652635e-17,3.2943424692046244,30,power_plant,success
0.8959030100334449,13.17737022745257,-0.0022442353320116337,0.020212417003979962,0.054407212673572895,-8.079750172522878e-16,3.294336533665825,-3.267546025652635e-17,3.2943424692046244,50,power_plant,success
0.8959030100334449,13.17737022745257,-0.00677628484420678,2.3147707664686088e-05,0.054407212673572895,1.7793273357872076e-15,3.2943338996496805,-3.267546025652635e-17,3.2943424692046244,100,power_plant,success
0.8959030100334449,13.17737022745257,0.02271108567973126,0.0033097458834066393,0.054407212673572895,-5.614621488599398e-10,7.11455735179492e-10,-3.267546025652635e-17,3.2943424692046244,all,power_plant,success
0.9166666666666666,7.871960888191168,0.1946930851214744,0.40602771516728,-0.0782964442965185,4.255854927729767e-16,1.9679864116304355,5.551115123125783e-17,1.9679901998437033,3,energy_cooling,success
0.9166666666666666,7.871960888191168,0.12134683355650744,0.530450456929912,-0.0782964442965185,-1.295260195396016e-16,1.967986236776769,5.551115123125783e-17,1.9679901998437033,5,energy_cooling,success
0.9166666666666666,7.871960888191168,0.18921318017446387,0.49280793281841323,-0.0782964442965185,-3.1456319031046104e-16,1.9679862893864388,5.551115123125783e-17,1.9679901998437033,7,energy_cooling,success
0.9166666666666666,7.871960888191168,0.2204009728294955,0.4740972003200145,-0.0782964442965185,-1.850371707708594e-17,1.9679861073127702,5.551115123125783e-17,1.9679901998437033,10,energy_cooling,success
0.9166666666666666,7.871960888191168,0.20058886326607728,0.4282841788253182,-0.0782964442965185,1.0177044392397268e-16,1.9679857186968142,5.551115123125783e-17,1.9679901998437033,15,energy_cooling,success
0.9166666666666666,7.871960888191168,0.22068873676904258,0.41798910545710155,-0.0782964442965185,1.3877787807814457e-16,1.9679853165699381,5.551115123125783e-17,1.9679901998437033,20,energy_cooling,success
0.9166666666666666,7.871960888191168,0.19423352381855524,0.4137923937447713,-0.0782964442965185,3.608224830031759e-16,1.9679844225684995,5.551115123125783e-17,1.9679901998437033,30,energy_cooling,success
0.9166666666666666,7.871960888191168,0.21392532945397175,0.41681107660402666,-0.0782964442965185,-1.4247862149356176e-15,1.9679794858656232,5.551115123125783e-17,1.9679901998437033,50,energy_cooling,success
0.9166666666666666,7.871960888191168,0.37841732923031884,0.1973672863368788,-0.0782964442965185,-5.1232166657181705e-15,1.9679629315080895,5.551115123125783e-17,1.9679901998437033,100,energy_cooling,success
0.9166666666666666,7.871960888191168,-0.03769450898109208,-0.044463045467758394,-0.0782964442965185,-3.982905310947975e-10,1.2413819261995746e-10,5.551115123125783e-17,1.9679901998437033,all,energy_cooling,success
